# Structural alerts extracted from ToxTree plugin: Structural Alerts for Functional Group Identification (ISSFUNC) (FuncRules)
# (see http://toxtree.sf.net, the alerts do not cover all ToxTree rules)
"FG39","[N;H1,$(N([#6]))]=[C;H1,$(C([#6]))][O][#6]"
"FG40","[N;H1,$(N([#6]))]=[C;H1,$(C([#6]))][F,Cl,Br,I]"
"FG41_LS","[C;$(C([#6,H]))&!$([CH2])&!$(C([#6])([#6]))&!$([CH]([#6]))](=[SX1])"
"FG41_1","[C;H1,$(C[#6])](=[SX1])[OH,$([SH1])]"
"FG41_2","[C;H1,$(C[#6])](=[SX1])[O,S][#6]"
"FG41_3","[C;R](=[SX1])[O,S;R]"
"FG41_4","[C;H1,$(C[#6])](=[SX1])[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG41_5","[C;R](=[SX1])[N;R&H1,$(N([#6]))]"
"FG42","[$([NX2]([#6])),$([NX2H])]=[$([CX3]([#6])),$([CX3H])]S[#6]"
"FG43","[n;H,$(n([#6]))]1c(=O)cccc1"
"FG44","[n;H,$(n([#6]))]1c(=S)cccc1"
"FG45","[n;H,$(n([#6]))]1c(=[N;H,$(N([#6]))])cccc1"
"FG46_LS","[$([CX4;H1&!$(C([#6]))&!$(C([#6])([#6]))&!$(C([#6])([#6])([#6]))]),$([CX4H0;$(C([#6]))&!$(C([#6])([#6]))&!$(C([#6])([#6])([#6]))&!$(C([#6])([#6])([#6])([#6]))])]"
"FG46_1","[$([CX4]([#6])),$([CX4H])]([O][#6])([O][#6])([O][#6])"
"FG46_L2","[$([CX4]([#6])),$([CX4H])]([O][#6])([O][#6])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG47","[C;H1,$(C[#6])](=[OX1])O[C;H1,$(C[#6])](=[OX1])"
"FG48_LS","[C;H1,$(C[#6])](=[OX1])[NX3][C;H1,$(C[#6])](=[OX1])"
"FG48_1","[C;H1,$(C[#6])](=[OX1])[NX3H1][C;H1,$(C[#6])](=[OX1])"
"FG48_2","[C;H1,$(C[#6])](=[OX1])[NX3H0][C;H1,$(C[#6])](=[OX1])"
"FG49","[C;v4;H0&!$(C~[#6])]"
"FG50_LS","[CX3;H0&!$(C~[#6])](=[OX1])"
"FG50_1","[C;$(C[O][#6])](=[OX1])[OH]"
"FG50_2","[C;$(C[O][#6])](=[OX1])[O][#6]"
"FG50_3","[C;$(C[O][#6])](=[OX1])[I,F,Cl,Br]"
"FG51_LS","[CX3;H0&!$(C~[#6])](=[SX1])"
"FG51_1","[C;$(C[O][#6])](=[SX1])[OH]"
"FG51_2","[C;$(C[O][#6])](=[SX1])[O][#6]"
"FG51_3","[C;$(C[O][#6])](=[SX1])[I,F,Cl,Br]"
"FG52_LS","[CX3;H0&!$(C~[#6])](=[OX1])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG52_1","[C;$(C[OH])](=[OX1])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG52_2","[C;$(C[O][#6])](=[OX1])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG52_3","[C;$(C[I,Cl,F,Br])](=[OX1])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG53_LS","[CX3;H0&!$(C~[#6])](=[SX1])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG53_1","[C;$(C[OH])](=[SX1])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG53_2","[C;$(C[O][#6])](=[SX1])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG53_3","[C;$(C[I,Cl,F,Br])](=[SX1])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG54","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]C(=O)[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG55","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])][C;$(C[O][#6]),$(C[OH])]=[$([NX2]([#6])),$([NX2H1])]"
"FG56","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]C(=S)[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG57","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])][C;$(C[S][#6]),$(C[SH])]=[$([NX2]([#6])),$([NX2H1])]"
"FG58","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]C(=[$([NX2]([#6])),$([NX2H1])])[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG59","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]C(=O)[N;$([NX3]([#6])),$([NX3H1])][$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG60","[$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]C(=S)[N;$([NX3]([#6])),$([NX3H1])][$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])]"
"FG61","[$([#6]-[NX2-]-[NX2+]#[NX1]),$([#6]-[NX2]=[NX2+]=[NX1-])]"
"FG62","[#6][NX2]=[NX2][#6]"
"FG63","[$([#6]=[N+]=[N-]),$([#6-]-[N+]#[N]),$([#6]-[N]=[N+])]"
"FG64","[CX1-]#[NX2+][#6]"
"FG65","N#CO[#6]"
"FG66","[#6]N=C=O"
"FG67","N#CS[#6]"
"FG68","[#6]N=C=S"
"FG69","[$([NX2]([#6])),$([NX2H1])]=C=[$([NX2]([#6])),$([NX2H1])]"
"FG70","[#6][NX2]=O"
"FG71","[#6][NX3](=O)=O"
"FG72","[#6]O[NX2]=[OX1]"
"FG73","[$([NX3](=[OX1])(=[OX1])O[#6]),$([NX3+]([OX1-])(=[OX1])O[#6])]"
"FG74_LS","[SX4;H0&!$(S~[#6])](=[OX1])(=[OX1])"
"FG74_1","[SX4](=[OX1])(=[OX1])([OH])([OH])"
"FG74_2","[SX4](=[OX1])(=[OX1])([OH])([O][#6])"
"FG74_3","[SX4](=[OX1])(=[OX1])([O][#6])([O][#6])"
"FG74_4","[SX4](=[OX1])(=[OX1])([O][#6])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG74_5","[SX4](=[OX1])(=[OX1])([OH])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG74_6","[SX4](=[OX1])(=[OX1])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG74_7","[SX4;H0&!$(S~[#6])](=[OX1])(=[OX1])([F,I,Br,Cl])"
"FG75_LS","[SX4](=[OX1])(=[OX1])([#6])([!#6])"
"FG75_1","[SX4](=[OX1])(=[OX1])([#6])([OH])"
"FG75_2","[SX4](=[OX1])(=[OX1])([#6])([O][#6])"
"FG75_3","[SX4](=[OX1])(=[OX1])([#6])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG75_4","[SX4](=[OX1])(=[OX1])([#6])([I,Br,Cl,F])"
"FG76","[SX4](=[OX1])(=[OX1])([#6])([#6])"
"FG77","[SX3](=[OX1])([#6])([#6])"
"FG78_LS","[SX3](=[OX1])([#6])([!#6])"
"FG78_1","[SX3](=[OX1])([#6])([OH])"
"FG78_2","[SX3](=[OX1])([#6])([O][#6])"
"FG78_3","[SX3](=[OX1])([#6])([I,Br,Cl,F])"
"FG78_4","[SX3](=[OX1])([#6])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG79_LS","[SX2]([#6])([!#6])"
"FG79_1","[SX2]([#6])([OH])"
"FG79_2","[SX2]([#6])([O][#6])"
"FG79_3","[SX2]([#6])([I,Br,Cl,F])"
"FG79_4","[SX2]([#6])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG80_LS","[SX2H1][#6]"
"FG80_1","[SX2H1]C"
"FG80_2","[SX2H1]c"
"FG81_LS","P(=[OX1])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])"
"FG81_1","P(=[OX1])([OH])([OH])([OH])"
"FG81_2","P(=[OX1])([O][#6])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])"
"FG81_3","P(=[OX1])([I,Br,Cl,F])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])"
"FG81_4","P(=[OX1])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])([$([NX3]([#6])[#6]),$([NX3H][#6]),$([NX3H2])])"
"FG82_LS","P(=[SX1])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])"
"FG82_1","P(=[SX1])([OH])([OH])([OH])"
"FG82_2","P(=[SX1])([O][#6])([O,N,Cl,Br,I,F])([O,N,Cl,Br,I,F])"
